epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,32718.6,1.81872,1.20729,0.00408,0.50514,0.42825,0.42502,0.22186,1.62645,1.27014,0.00379,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,33402.3,1.81295,1.20284,0.00406,0.50462,0.43091,0.42515,0.22157,1.62204,1.2682,0.00376,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,34090.3,1.80274,1.19043,0.00399,0.50846,0.42891,0.42539,0.22191,1.62207,1.27015,0.00379,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,34768.1,1.79622,1.18124,0.00402,0.50557,0.43108,0.42619,0.22197,1.62204,1.27681,0.00378,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,35458.5,1.80176,1.18216,0.00402,0.50266,0.43753,0.42646,0.22211,1.62314,1.27676,0.00378,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,36142.7,1.7942,1.1729,0.004,0.50095,0.44066,0.42627,0.22187,1.62559,1.27633,0.00375,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,36820.5,1.789,1.17331,0.00401,0.49848,0.44322,0.42588,0.22196,1.62426,1.27743,0.00378,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,37497.4,1.78516,1.16721,0.00396,0.50301,0.44188,0.42633,0.22197,1.62376,1.27574,0.00377,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,38176.8,1.78164,1.15799,0.00395,0.49717,0.44661,0.42597,0.22163,1.62727,1.26719,0.00378,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,38855.6,1.78267,1.15061,0.00393,0.50215,0.44488,0.42573,0.22134,1.62596,1.26572,0.00377,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,39533.9,1.77276,1.13866,0.00394,0.49512,0.45296,0.42568,0.22069,1.62556,1.26463,0.00376,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,40213.2,1.76776,1.12497,0.00389,0.50447,0.44257,0.42339,0.21969,1.62469,1.26499,0.00376,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,40891.2,1.76579,1.12355,0.00393,0.49662,0.44867,0.42228,0.21929,1.62315,1.26503,0.00375,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,41567.8,1.77058,1.12855,0.00393,0.49617,0.44854,0.42271,0.21919,1.62465,1.26335,0.00375,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,42244.3,1.76518,1.11829,0.00388,0.49672,0.45126,0.42373,0.21893,1.62193,1.26653,0.00369,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,42920.1,1.75573,1.11299,0.00388,0.49926,0.44404,0.42201,0.21959,1.62225,1.26526,0.00369,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,43595.6,1.75066,1.1022,0.00386,0.50061,0.44251,0.42258,0.21969,1.62198,1.26572,0.00369,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,44275.7,1.75035,1.09364,0.00385,0.50246,0.44232,0.42352,0.21997,1.62232,1.26573,0.0037,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,44952.4,1.74299,1.08984,0.00383,0.50718,0.4467,0.424,0.21995,1.62203,1.2659,0.0037,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,45630.7,1.73753,1.08961,0.00389,0.50801,0.44704,0.42391,0.21985,1.62105,1.26611,0.00369,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,46308,1.73173,1.07871,0.00379,0.50165,0.44815,0.42378,0.21994,1.62118,1.26537,0.00369,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,46984.4,1.73482,1.0757,0.00379,0.49942,0.44968,0.42378,0.22008,1.62116,1.26542,0.00369,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,47661,1.72419,1.06421,0.00379,0.50097,0.44963,0.42396,0.21988,1.62155,1.26468,0.00369,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,48345,1.7293,1.05518,0.00377,0.49933,0.45075,0.42413,0.22045,1.61947,1.2665,0.00369,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,49030.5,1.65074,0.97439,0.00369,0.5011,0.45006,0.42354,0.22021,1.61938,1.26714,0.00369,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,49715.3,1.65214,0.96535,0.00367,0.49907,0.45163,0.42401,0.22097,1.62079,1.26725,0.0037,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,50400.4,1.64546,0.95888,0.00367,0.49864,0.45062,0.425,0.22118,1.62019,1.26853,0.0037,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,51085.3,1.64136,0.95923,0.00367,0.49907,0.44873,0.42552,0.22117,1.62124,1.26782,0.0037,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,51769.3,1.63549,0.9391,0.00365,0.50107,0.44529,0.42499,0.22085,1.62314,1.26664,0.00371,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,52454,1.62544,0.93659,0.00365,0.5078,0.44359,0.42424,0.22029,1.62299,1.26725,0.00371,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,53138.7,1.62388,0.9376,0.00363,0.50928,0.44032,0.42425,0.22018,1.62268,1.26866,0.00371,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,53824.1,1.62229,0.91686,0.0036,0.51199,0.43976,0.42436,0.22031,1.62128,1.27106,0.0037,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,54515.6,1.62499,0.9156,0.00356,0.5102,0.44074,0.42378,0.21992,1.62147,1.27137,0.0037,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,55200.2,1.61224,0.90626,0.00356,0.51003,0.44152,0.42346,0.21969,1.62217,1.27167,0.00371,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,55884,1.60723,0.9007,0.00352,0.50951,0.44145,0.42341,0.21967,1.62323,1.27175,0.00372,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,56568.7,1.60206,0.89249,0.00351,0.50489,0.44098,0.42325,0.21966,1.62294,1.27352,0.00373,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,57253.4,1.60738,0.889,0.00352,0.50667,0.43998,0.42346,0.21983,1.62339,1.27394,0.00374,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,57937,1.59386,0.87862,0.00352,0.5037,0.44175,0.42329,0.21979,1.62374,1.27509,0.00374,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,58621.3,1.60003,0.88173,0.00351,0.5011,0.44558,0.42373,0.2199,1.62745,1.2735,0.00385,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,59305.4,1.58871,0.87643,0.00346,0.50013,0.44611,0.42366,0.21997,1.62756,1.2749,0.00385,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,59987.8,1.59152,0.87394,0.00347,0.49659,0.44764,0.42381,0.21995,1.62819,1.27624,0.00384,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
