epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,49736.5,1.76712,1.12452,0.00405,0.45611,0.38461,0.35262,0.18351,1.49204,1.298,0.00424,0.0100643,0.00335475,0.0100643,0.00335475,0.0100643,0.00335475,0.0100643,0.00335475
75,50406.5,1.766,1.12066,0.004,0.4586,0.38536,0.35292,0.18368,1.49182,1.3009,0.00424,0.00978543,0.00326181,0.00978543,0.00326181,0.00978543,0.00326181,0.00978543,0.00326181
76,51078.4,1.76341,1.10528,0.00396,0.4704,0.38737,0.35338,0.18383,1.49238,1.30053,0.00424,0.00951472,0.00317157,0.00951472,0.00317157,0.00951472,0.00317157,0.00951472,0.00317157
77,51745.4,1.76127,1.1113,0.00399,0.4484,0.38814,0.35356,0.18398,1.49314,1.30037,0.00428,0.00925238,0.00308413,0.00925238,0.00308413,0.00925238,0.00308413,0.00925238,0.00308413
78,52417.6,1.75435,1.0967,0.00404,0.44872,0.38754,0.35376,0.18404,1.49372,1.29994,0.00429,0.00899867,0.00299956,0.00899867,0.00299956,0.00899867,0.00299956,0.00899867,0.00299956
79,53091,1.75254,1.09192,0.00397,0.44677,0.38739,0.35377,0.18404,1.49364,1.30029,0.00429,0.00875384,0.00291795,0.00875384,0.00291795,0.00875384,0.00291795,0.00875384,0.00291795
80,53767.8,1.7523,1.0928,0.00397,0.45065,0.38788,0.35396,0.18416,1.494,1.30062,0.00429,0.00851814,0.00283938,0.00851814,0.00283938,0.00851814,0.00283938,0.00851814,0.00283938
81,54441,1.7483,1.08518,0.00399,0.45685,0.38668,0.35395,0.18417,1.49372,1.29914,0.00429,0.0082918,0.00276393,0.0082918,0.00276393,0.0082918,0.00276393,0.0082918,0.00276393
82,55111.3,1.74753,1.09501,0.00405,0.45539,0.38532,0.35365,0.18413,1.4938,1.29874,0.00429,0.00807503,0.00269168,0.00807503,0.00269168,0.00807503,0.00269168,0.00807503,0.00269168
83,55778.2,1.73875,1.08224,0.00398,0.46018,0.38482,0.35383,0.18434,1.49435,1.29881,0.00426,0.00786806,0.00262269,0.00786806,0.00262269,0.00786806,0.00262269,0.00786806,0.00262269
84,56450.7,1.73541,1.0714,0.00394,0.46437,0.38488,0.35409,0.18447,1.49441,1.30017,0.00426,0.0076711,0.00255703,0.0076711,0.00255703,0.0076711,0.00255703,0.0076711,0.00255703
85,57126.4,1.73386,1.067,0.00395,0.46812,0.38556,0.35433,0.18455,1.49452,1.30054,0.00426,0.00748432,0.00249477,0.00748432,0.00249477,0.00748432,0.00249477,0.00748432,0.00249477
86,57799.1,1.73006,1.06289,0.00395,0.46456,0.38428,0.35448,0.18469,1.49358,1.30217,0.00426,0.00730792,0.00243597,0.00730792,0.00243597,0.00730792,0.00243597,0.00730792,0.00243597
87,58477.4,1.72922,1.06154,0.00389,0.44483,0.38553,0.35462,0.18476,1.49411,1.30077,0.00428,0.00714208,0.00238069,0.00714208,0.00238069,0.00714208,0.00238069,0.00714208,0.00238069
88,59159.7,1.72411,1.05858,0.00388,0.44216,0.38611,0.35497,0.185,1.49342,1.30143,0.00427,0.00698694,0.00232898,0.00698694,0.00232898,0.00698694,0.00232898,0.00698694,0.00232898
89,59828.8,1.72146,1.04985,0.00389,0.44978,0.38598,0.3553,0.18516,1.49381,1.30853,0.00427,0.00684268,0.00228089,0.00684268,0.00228089,0.00684268,0.00228089,0.00684268,0.00228089
90,60495.4,1.72466,1.05282,0.00391,0.44199,0.38299,0.35557,0.18522,1.49208,1.29892,0.00424,0.00670943,0.00223648,0.00670943,0.00223648,0.00670943,0.00223648,0.00670943,0.00223648
91,61170,1.72198,1.05155,0.00386,0.46915,0.38777,0.35592,0.18541,1.48997,1.3032,0.00418,0.00658732,0.00219577,0.00658732,0.00219577,0.00658732,0.00219577,0.00658732,0.00219577
92,61838.9,1.72094,1.04379,0.00389,0.47966,0.38756,0.35665,0.18582,1.48945,1.30256,0.00418,0.00647648,0.00215883,0.00647648,0.00215883,0.00647648,0.00215883,0.00647648,0.00215883
93,62514.2,1.71466,1.03736,0.00388,0.4722,0.38749,0.35655,0.18582,1.48845,1.30397,0.00418,0.006377,0.00212567,0.006377,0.00212567,0.006377,0.00212567,0.006377,0.00212567
94,63186.4,1.71955,1.02564,0.00387,0.47891,0.38508,0.35678,0.18595,1.48943,1.3026,0.00421,0.006289,0.00209633,0.006289,0.00209633,0.006289,0.00209633,0.006289,0.00209633
95,63856.9,1.71044,1.01895,0.00383,0.47669,0.38401,0.35679,0.18617,1.4908,1.30379,0.00421,0.00621255,0.00207085,0.00621255,0.00207085,0.00621255,0.00207085,0.00621255,0.00207085
96,64537.5,1.71034,1.02517,0.00382,0.47858,0.38479,0.35677,0.18613,1.4901,1.30522,0.00421,0.00614774,0.00204925,0.00614774,0.00204925,0.00614774,0.00204925,0.00614774,0.00204925
97,65216,1.70553,1.0131,0.00386,0.47881,0.3854,0.35684,0.18623,1.48916,1.30623,0.00421,0.00609462,0.00203154,0.00609462,0.00203154,0.00609462,0.00203154,0.00609462,0.00203154
98,65890.1,1.70828,1.01507,0.00381,0.47936,0.38498,0.35715,0.18658,1.48935,1.30768,0.0042,0.00605326,0.00201775,0.00605326,0.00201775,0.00605326,0.00201775,0.00605326,0.00201775
99,66560.1,1.70944,1.01855,0.00384,0.47548,0.37923,0.35715,0.18664,1.48862,1.30739,0.00417,0.00602368,0.00200789,0.00602368,0.00200789,0.00602368,0.00200789,0.00602368,0.00200789
100,67231.5,1.70188,1.01687,0.00385,0.47429,0.38238,0.3573,0.18673,1.48917,1.30776,0.00417,0.00600592,0.00200197,0.00600592,0.00200197,0.00600592,0.00200197,0.00600592,0.00200197
