epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,36170.7,1.83119,1.26338,0.00423,0.55049,0.36532,0.34575,0.1798,1.49984,1.31896,0.0045,0.0239118,0.0079706,0.0239118,0.0079706,0.0239118,0.0079706,0.0239118,0.0079706
65,36851.4,1.83741,1.27155,0.00431,0.55001,0.36564,0.34575,0.17987,1.50049,1.31459,0.0045,0.0237337,0.00791122,0.0237337,0.00791122,0.0237337,0.00791122,0.0237337,0.00791122
66,37518.4,1.83956,1.25392,0.00427,0.54874,0.36494,0.34584,0.18,1.49942,1.31723,0.00449,0.0235537,0.00785124,0.0235537,0.00785124,0.0235537,0.00785124,0.0235537,0.00785124
67,38187.7,1.82881,1.25397,0.00423,0.54501,0.36615,0.34639,0.18032,1.50047,1.317,0.00449,0.0233721,0.00779069,0.0233721,0.00779069,0.0233721,0.00779069,0.0233721,0.00779069
68,38857.9,1.83754,1.25376,0.00427,0.55028,0.36561,0.34638,0.18049,1.50152,1.31418,0.00455,0.0231887,0.00772956,0.0231887,0.00772956,0.0231887,0.00772956,0.0231887,0.00772956
69,39531.6,1.83252,1.24558,0.00427,0.55012,0.3662,0.34661,0.18059,1.49985,1.31579,0.00449,0.0230037,0.00766789,0.0230037,0.00766789,0.0230037,0.00766789,0.0230037,0.00766789
70,40204,1.83016,1.2372,0.00424,0.55185,0.3645,0.34672,0.18072,1.50059,1.31564,0.00453,0.0228171,0.00760568,0.0228171,0.00760568,0.0228171,0.00760568,0.0228171,0.00760568
71,40869.2,1.82411,1.24246,0.00424,0.55277,0.36446,0.34724,0.18108,1.50027,1.31517,0.00457,0.0226289,0.00754296,0.0226289,0.00754296,0.0226289,0.00754296,0.0226289,0.00754296
72,41540.5,1.83325,1.23484,0.00424,0.55193,0.36395,0.34671,0.18077,1.49933,1.3154,0.00457,0.0224392,0.00747973,0.0224392,0.00747973,0.0224392,0.00747973,0.0224392,0.00747973
73,42210.2,1.82512,1.22482,0.00419,0.55109,0.36351,0.34679,0.18092,1.49914,1.31473,0.00451,0.022248,0.00741601,0.022248,0.00741601,0.022248,0.00741601,0.022248,0.00741601
74,42879.9,1.81487,1.22568,0.00424,0.5496,0.36368,0.34669,0.18089,1.49843,1.31492,0.0045,0.0220554,0.00735181,0.0220554,0.00735181,0.0220554,0.00735181,0.0220554,0.00735181
75,43550.1,1.82124,1.21759,0.00417,0.54692,0.36525,0.34674,0.18091,1.49955,1.31436,0.0045,0.0218615,0.00728717,0.0218615,0.00728717,0.0218615,0.00728717,0.0218615,0.00728717
